what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1354015683660
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1354015683660
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1354015683660
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1354015683660
started,bundle,com.altera.sbtgui.integration,9.1.0.222,com.altera.sbtgui.integration,1354015683660
started,bundle,com.altera.sbtgui.project,9.1.0.222,com.altera.sbtgui.project,1354015683660
started,bundle,com.altera.systemconsole,9.1.0.222,com.altera.systemconsole,1354015683660
started,bundle,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch,1354015685252
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354015716311
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354015716498
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1354015716514
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.window.nextView,1354015716514
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1354015718901
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1354015718901
started,bundle,org.eclipse.cdt.debug.core,5.0.1.200809120802,org.eclipse.cdt.debug.core,1354015718948
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354015720804
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354015721147
opened,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1354015724267
started,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200809120802,org.eclipse.cdt.debug.mi.ui,1354015725094
started,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200809120802,org.eclipse.cdt.debug.mi.core,1354015725110
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354015902416
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354016338695
activated,view,com.altera.sbtgui.launch,9.1.0.222,com.altera.sbtgui.launch.hardware.ByteStreamConsoleView,1354016342065
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.RunLast,1354016344061
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1354016345668
